accidentDate;accidentTime;accidentDay;settlementType;settlement;district;streetType;streetName;houseNumber;locationComments;accidentType;mainAccidentCause;totalParticipantsAmount;injuryStatusParticipant1;injuryStatusParticipant2;injuryStatusParticipant3;injuryStatusParticipant4;injuryStatusParticipant5;injuryStatusParticipant6;latitude;longitude
2023-08-01;15:01:00;вівторок;місто;Львів;Галицький;вулиця;Шептицьких;43;null;наїзд на пішохода - пішохід рухався у попутному напрямку;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.836823;24.006522
2023-08-14;20:57:00;понеділок;місто;Львів;Галицький;вулиця;Франка І.;66;null;перекидання тз;перевищення безпечної швидкості;1;легко травмований;null;null;null;null;null;49.8304161288526;24.0317238404565
2023-08-03;8:01:00;четвер;місто;Львів;Залізничний;вулиця;Городоцька;282а;null;зіткнення лобове;порушення правил проїзду перехресть;4;без ушкоджень;легко травмований;легко травмований;легко травмований;null;null;49.823418;23.9295
2023-08-04;17:36:00;п'ятниця;місто;Львів;Сихівський;вулиця;Луганська;null;вул. Луганська - вул. Стрийська;зіткнення бокове;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.812134;24.021976
2023-08-13;20:30:00;неділя;місто;Львів;Галицький;вулиця;Коперника М.;null;вул. Коперника - вул. Бандери С.;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил проїзду перехресть;2;без ушкоджень;легко травмований;null;null;null;null;49.834564;24.02019
2023-08-07;16:19:00;понеділок;місто;Львів;Франківський;вулиця;Чупринки Т., ген.;18;null;наїзд на пішохода - на нерегульованому пішохідному переході;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.830287;45558
2023-08-21;18:01:00;понеділок;місто;Львів;Франківський;вулиця;Кульпарківська;36;null;наїзд на пішохода - на нерегульованому пішохідному переході;порушення правил проїзду пішохідних переходів;2;без ушкоджень;легко травмований;null;null;null;null;49.829842;23.990334
2023-07-24;19:34:00;понеділок;місто;Львів;Шевченківський;вулиця;Тесленка А.;null;вул. Тесленка А. - вул. Замарстинівська;наїзд на пішохода - на нерегульованому пішохідному переході;порушення правил проїзду пішохідних переходів, порушення правил проїзду перехресть;2;без ушкоджень;легко травмований;null;null;null;null;49.852705;24.027759
2023-08-01;22:50:00;вівторок;місто;Львів;Сихівський;проспект;Червоної Калини, просп.;null;просп. Червоної Калини - вул. Луганська;наїзд на пішохода - на нерегульованому пішохідному переході;неочікуваний вихід на проїзну частину;3;без ушкоджень;без ушкоджень;легко травмований;null;null;null;49.808162;24.046465
2023-08-20;13:10:00;неділя;місто;Львів;Шевченківський;вулиця;Під Голоском;8;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.868717;24.01456
2023-08-23;14:46:00;середа;місто;Львів;Шевченківський;вулиця;Тичини П.;null;null;зіткнення з задньою частиною тз;неочікуваний вихід на проїзну частину;2;без ушкоджень;легко травмований;null;null;null;null;49.870576;24.033432
2023-08-08;22:13:00;вівторок;місто;Львів;Личаківський;вулиця;Личаківська;58;null;наїзд на пішохода - на нерегульованому пішохідному переході;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.839885;24.049603
2023-08-08;14:31:00;вівторок;місто;Львів;Франківський;вулиця;Стрийська;98;null;наїзд на пішохода - пішохід рухався у попутному напрямку;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.812684;24.018076
2023-07-29;14:50:00;субота;місто;Львів;Сихівський;вулиця;Стрийська;107;null;наїзд на пішохода - на нерегульованому пішохідному переході;порушення правил проїзду пішохідних переходів;2;без ушкоджень;легко травмований;null;null;null;null;49.787114;24.014853
2023-08-21;19:10:00;понеділок;село;Завадів;Шевченківський;вулиця;Шевченка Т.;12;null;наїзд на пішохода - пішохід на тротуарі чи велосипедній доріжці;перевищення безпечної швидкості, недодержання дистанції, порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.945388;23.982397
2023-08-09;15:01:00;середа;місто;Львів;Личаківський;вулиця;Богданівська;null;вул. Богданівська - вул. Глинянський Тракт;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил проїзду перехресть, порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.840381;24.085558
2023-08-27;16:22:00;неділя;місто;Львів;Залізничний;вулиця;Патона Є.;1;null;зіткнення бокове;порушення правил проїзду перехресть, невиконання вимог сигналів регулювання;2;без ушкоджень;легко травмований;null;null;null;null;49.824467;23.949219
2023-08-12;15:56:00;субота;місто;Львів;Сихівський;вулиця;Пасічна;null;вул. Пасічна - вул. Пирогівка;зіткнення бокове;невиконання вимог сигналів регулювання;2;без ушкоджень;легко травмований;null;null;null;null;49.805266;24.075946
2023-08-28;19:55:00;понеділок;місто;Львів;Шевченківський;вулиця;Мазепи І., гетьм.;25е;null;зіткнення бокове;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.871365;24.036702
2023-07-27;17:55:00;четвер;місто;Львів;Сихівський;вулиця;Стрийська;61;null;зіткнення бокове;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.795384;24.01665
2023-08-05;22:02:00;субота;місто;Львів;Личаківський;вулиця;Левицького К.;48;null;наїзд на пішохода - пішохід рухався у попутному напрямку;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.83373;24.04076
2023-08-13;17:59:00;неділя;місто;Львів;Залізничний;вулиця;Караджича В.;16;null;наїзд на пішохода - пішохід рухався у зустрічному напрямку;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.823567;23.973348
2023-08-03;11:01:00;четвер;село;Малехів;Шевченківський;вулиця;Київська;16;null;зіткнення з задньою частиною тз;перевищення безпечної швидкості, недодержання дистанції;4;без ушкоджень;без ушкоджень;без ушкоджень;легко травмований;null;null;49.886253;24.079039
2023-08-14;21:14:00;понеділок;місто;Львів;Франківський;вулиця;Стрийська;null;null;наїзд на пішохода - на нерегульованому пішохідному переході;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.824543;24.020727
2023-08-28;20:42:00;понеділок;місто;Львів;Галицький;вулиця;Замарстинівська;16;null;зіткнення бокове;порушення правил проїзду перехресть;5;без ушкоджень;без ушкоджень;легко травмований;легко травмований;легко травмований;null;49.848931;24.027405
2023-08-28;12:47:00;понеділок;місто;Львів;Залізничний;вулиця;Городоцька;82;null;наїзд на пішохода - пішохід на тротуарі чи велосипедній доріжці;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.838242;24.007047
