accidentDate,accidentTime,accidentDay,settlementType,settlement,district,streetType,streetName,houseNumber,locationComments,accidentType,mainAccidentCause,totalParticipantsAmount,injuryStatusParticipant1,injuryStatusParticipant2,injuryStatusParticipant3,injuryStatusParticipant4,injuryStatusParticipant5,injuryStatusParticipant6,injuryStatusParticipant7,injuryStatusParticipant8,latitude,longitude
2018-06-20,22:35:00,середа,місто,Львів,Франківський,вулиця,Городоцька,153,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,49.836398,24.000846
2018-06-06,8:26:00,середа,місто,Львів,Галицький,вулиця,Городоцька,43,null,наїзд на велосипедиста - велосипедист рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,49.842888,24.019836
2018-06-21,15:18:00,четвер,місто,Львів,Франківський,вулиця,Княгині Ольги,71,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,49.80644,23.998931
2018-07-04,21:07:00,середа,місто,Львів,Личаківський,вулиця,Глинянський Тракт,null,перехрестя вул. Тракт Глинянський - вул. Ромоданівська,зіткнення бокове,перевищення безпечної швидкості,2,легко травмований,легко травмований,null,null,null,null,null,null,49.836889,24.073888
2018-07-05,15:30:00,четвер,місто,Львів,Сихівський,вулиця,Дністерcька,1,null,наїзд на велосипедиста - велосипедист рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,49.818047,24.057612
2018-06-10,21:23:00,неділя,місто,Львів,Шевченківський,вулиця,Хімічна,null,"перехрестя вул. Хімічна - Чорновола В., просп.",наїзд на пішохода - пішохід переходив дорогу поза межами пішохідного переходу,перехід у невстановленому місці,2,без ушкоджень,легко травмований,null,null,null,null,null,null,49.853826,24.023302
2018-07-17,8:47:00,вівторок,місто,Львів,Залізничний,вулиця,Ряшівська,null,перехрестя вул. Городоцька - вул. Ряшівська,зіткнення бокове,невиконання вимог сигналів регулювання,2,легко травмований,без ушкоджень,null,null,null,null,null,null,49.827865,23.953822
2018-06-07,19:32:00,четвер,місто,Львів,Шевченківський,проспект,"Чорновола В., просп.",101,null,зіткнення бокове,порушення правил маневрування,3,без ушкоджень,легко травмований,тяжко травмований,null,null,null,null,null,49.866411,24.016338
2018-07-11,23:55:00,середа,місто,Львів,Шевченківський,вулиця,Липинського В.,null,перехрестя вул. Липинського В. - вул. Хмельницького Б.,наїзд на інші види перешкод,порушення правил маневрування,1,легко травмований,null,null,null,null,null,null,null,49.865003,24.052849
2018-06-14,20:25:00,четвер,місто,Львів,Галицький,вулиця,Вітовського Д.,41,null,наїзд на інші види перешкод,недодержання дистанції,2,без ушкоджень,легко травмований,null,null,null,null,null,null,49.830276,24.023619
2018-06-06,12:50:00,середа,місто,Львів,Галицький,вулиця,Князя Романа,5,null,зіткнення бокове,"перевищення безпечної швидкості , недодержання дистанції",4,тяжко травмований,без ушкоджень,без ушкоджень,без ушкоджень,null,null,null,null,49.837415,24.033177
2018-06-17,16:57:00,неділя,місто,Львів,Шевченківський,вулиця,Шевченка Т.,358,null,зіткнення бокове,порушення правил маневрування,5,без ушкоджень,без ушкоджень,легко травмований,легко травмований,легко травмований,null,null,null,49.868097,23.952207
2018-06-25,22:25:00,понеділок,місто,Львів,Шевченківський,вулиця,Винниця,null,null,"наїзд на опори ( леп, телефонних та телеграфних ліній, рекламоносіїв, щогли антен моб. зв'язку, тощо )",порушення правил маневрування,2,тяжко травмований,легко травмований,null,null,null,null,null,null,49.866095,23.969443
2018-07-15,21:15:00,неділя,місто,Львів,Сихівський,вулиця,Хуторівка,59,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,49.802247,24.03034
2018-07-14,16:55:00,субота,місто,Львів,Шевченківський,проспект,"Чорновола В., просп.",46,null,зіткнення лобове,порушення правил маневрування,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,49.855081,24.022395
2018-06-09,7:08:00,субота,місто,Львів,Сихівський,вулиця,Стрийська,75,null,зіткнення бокове,порушення правил маневрування,2,тяжко травмований,без ушкоджень,null,null,null,null,null,null,49.791402,24.01577
2018-07-15,17:10:00,неділя,місто,Львів,Личаківський,вулиця,Хмельницького Б.,210,null,наїзд на інші види перешкод,порушення правил маневрування,1,легко травмований,null,null,null,null,null,null,null,49.868723,24.056148
2018-06-04,9:59:00,понеділок,місто,Львів,Франківський,вулиця,"Сахарова А., акад.",12,null,наїзд на велосипедиста - велосипедист рухався у зустрічному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,49.83118,24.015979
2018-06-15,18:40:00,п'ятниця,місто,Львів,Залізничний,вулиця,Ряшівська,1,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,49.827128,23.955667
2018-07-14,12:54:00,субота,місто,Львів,Сихівський,вулиця,Стрийська,35,null,зіткнення лобове,порушення правил маневрування,5,без ушкоджень,без ушкоджень,без ушкоджень,без ушкоджень,легко травмований,null,null,null,49.815849,24.021719
2018-06-11,22:22:00,понеділок,місто,Львів,Сихівський,вулиця,Чмоли І.,null,"перехрестя вул. Чмоли І., - вул. Стрийська",зіткнення бокове,"порушення правил маневрування , порушення правил проїзду перехресть , перевищення безпечної швидкості",2,тяжко травмований,без ушкоджень,null,null,null,null,null,null,49.814672,24.019825
2018-07-10,18:40:00,вівторок,місто,Львів,Залізничний,вулиця,Городоцька,357,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,49.821802,23.9231
2018-06-07,1:55:00,четвер,місто,Львів,Залізничний,вулиця,Городоцька,80,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,49.838284,24.007317
2018-06-18,17:01:00,понеділок,місто,Львів,Франківський,вулиця,Княгині Ольги,3,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,49.823837,24.007643
2018-06-09,16:34:00,субота,місто,Львів,Личаківський,вулиця,Пасічна,55,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,49.827332,24.072971
2018-07-01,13:50:00,неділя,місто,Львів,Галицький,площа,"Князя Ярослава Осмомисла, пл.",null,"перехрестя вул. Замарстинівська - Князя Ярослава Осмомисла, пл.",зіткнення лобове,порушення правил маневрування,3,без ушкоджень,легко травмований,легко травмований,null,null,null,null,null,49.844819,24.029245
2018-07-07,23:30:00,субота,місто,Львів,Личаківський,вулиця,Кукурудзяна,2,null,зіткнення лобове,перевищення безпечної швидкості,4,легко травмований,без ушкоджень,легко травмований,легко травмований,null,null,null,null,49.862741,24.056625
2018-06-19,9:28:00,вівторок,місто,Львів,Сихівський,проспект,"Червоної Калини, просп.",null,"перехрестя Червоної Калини, просп., - вул. Угорська",зіткнення лобове,порушення правил маневрування,3,помер у лікарні протягом 30 діб,легко травмований,без ушкоджень,null,null,null,null,null,49.810214,24.046522
2018-06-22,20:01:00,п'ятниця,місто,Львів,Залізничний,вулиця,Городоцька,274,null,зіткнення бокове,"перевищення безпечної швидкості , недодержання дистанції",2,без ушкоджень,легко травмований,null,null,null,null,null,null,49.824179,23.9329
2018-06-29,17:49:00,п'ятниця,місто,Львів,Залізничний,вулиця,Левандівська,30,null,зіткнення бокове,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,49.843397,23.981121
2018-07-10,9:20:00,вівторок,місто,Львів,Франківський,вулиця,Наукова,2,null,зіткнення лобове,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,49.803005,24.007627
2018-06-06,14:55:00,середа,місто,Львів,Залізничний,вулиця,Кульпарківська,230,null,зіткнення бокове,"порушення правил маневрування , перевищення безпечної швидкості",2,без ушкоджень,легко травмований,null,null,null,null,null,null,49.803241,23.980751
2018-06-20,23:09:00,середа,місто,Львів,Франківський,вулиця,"Сахарова А., акад.",25,null,наїзд на пішохода - пішохід рухався у попутному напрямку,перехід у невстановленому місці,2,без ушкоджень,легко травмований,null,null,null,null,null,null,49.823435,24.012766
2018-07-13,17:35:00,п'ятниця,місто,Львів,Залізничний,вулиця,Любінська,191Б,null,зіткнення бокове,порушення правил маневрування,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,49.816501,23.957462
2018-08-30,19:01:00,четвер,місто,Львів,Личаківський,вулиця,Зелена,20,null,наїзд на пішохода - пішохід переходив дорогу поза межами пішохідного переходу,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,null,null,null,null,null,null,49.833411,24.03868
2018-07-31,18:15:00,вівторок,місто,Львів,Франківський,вулиця,Наукова,16,null,зіткнення бокове,"порушення правил маневрування , недодержання дистанції",2,легко травмований,без ушкоджень,null,null,null,null,null,null,49.803444,24.002538
2018-08-23,20:45:00,четвер,місто,Львів,Сихівський,вулиця,Мирного Панаса,null,вул. Литовська,наїзд на велосипедиста - поза межами велосипедної доріжки,недодержання дистанції,2,без ушкоджень,легко травмований,null,null,null,null,null,null,49.814755,24.03343
2018-07-26,4:15:00,четвер,місто,Львів,Франківський,вулиця,Трускавецька,50,null,наїзд на пішохода - пішохід рухався у попутному напрямку,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,null,null,null,null,null,null,49.800318,23.984683
2018-07-07,14:45:00,субота,місто,Львів,Сихівський,вулиця,Зелена,303,null,зіткнення з задньою частиною тз,порушення правил маневрування,3,легко травмований,легко травмований,без ушкоджень,null,null,null,null,null,49.798033,24.071753
2018-08-02,18:01:00,четвер,місто,Львів,Франківський,вулиця,Наукова,112,null,падіння пасажира,порушення правил перевезення пасажирів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,49.805508,23.985263
2018-08-17,22:27:00,п'ятниця,місто,Львів,Шевченківський,вулиця,Шевченка Т.,358,null,зіткнення бокове,порушення правил маневрування,3,легко травмований,легко травмований,без ушкоджень,null,null,null,null,null,49.868482,23.952599
2018-08-24,17:10:00,п'ятниця,місто,Львів,Шевченківський,вулиця,Шевченка Т.,315,null,наїзд на пішохода - пішохід рухався у попутному напрямку,"перевищення безпечної швидкості , недодержання дистанції",4,без ушкоджень,легко травмований,легко травмований,легко травмований,null,null,null,null,49.870632,23.943297
2018-07-30,13:03:00,понеділок,місто,Львів,Личаківський,вулиця,Пасічна,49,null,зіткнення лобове,"перевищення безпечної швидкості , недодержання дистанції",3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,49.828377,24.070739
