accidentDate,accidentTime,accidentDay,settlementType,settlement,district,streetType,streetName,houseNumber,locationComments,accidentType,mainAccidentCause,totalParticipantsAmount,injuryStatusParticipant1,injuryStatusParticipant2,injuryStatusParticipant3,injuryStatusParticipant4,injuryStatusParticipant5,injuryStatusParticipant6,injuryStatusParticipant7,latitude,longitude
2021-08-28,8:50:00,субота,місто,Львів,Шевченківський,вулиця,Липинського В.,50Б,null,зіткнення бокове,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,49.864477,24.037582
2021-09-04,20:45:00,субота,місто,Львів,Франківський,вулиця,"Чупринки Т., ген.",20,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,49.829401,24.006329
2021-09-04,15:40:00,субота,місто,Львів,Шевченківський,вулиця,Замарстинівська,106,null,зіткнення бокове,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,49.858671,24.027255
2021-09-12,0:23:00,неділя,місто,Львів,Шевченківський,вулиця,Грінченка Б.,null,вул. Грінченка Б. - вул. Хмельницького Б.,зіткнення бокове,"порушення правил проїзду перехресть,порушення правил маневрування",2,без ушкоджень,легко травмований,null,null,null,null,null,49.869844,24.05714
2021-09-14,12:20:00,вівторок,місто,Львів,Франківський,вулиця,"Лазаренка Є., акад.",2,null,зіткнення бокове,"перевищення безпечної швидкості,недодержання дистанції",2,без ушкоджень,легко травмований,null,null,null,null,null,49.814644,24.016006
2021-09-13,22:15:00,понеділок,місто,Львів,Франківський,вулиця,Кульпарківська,35,null,зіткнення бокове,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,49.831111,23.991169
2021-08-31,10:20:00,вівторок,місто,Львів,Сихівський,вулиця,Липова Алея,1,null,наїзд на пішохода - пішохід рухався у попутному напрямку,пішоходи невиконання вимог сигналів регулювання,2,без ушкоджень,легко травмований,null,null,null,null,null,49.82049,24.05552
2021-09-15,19:16:00,середа,місто,Львів,Сихівський,вулиця,Гашека Я.,17,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,49.797372,24.01997
2021-09-08,13:30:00,середа,місто,Львів,Залізничний,вулиця,Бортнянського Д.,50,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,49.845635,23.999017
2021-09-15,8:48:00,середа,місто,Львів,Галицький,вулиця,Крушельницької С.,null,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,49.837159,24.02033
2021-09-08,14:04:00,середа,місто,Львів,Франківський,вулиця,Городоцька,165,null,наїзд на пішохода - пішохід рухався у попутному напрямку,недодержання дистанції,2,без ушкоджень,легко травмований,null,null,null,null,null,49.835872,23.997815
2021-09-13,8:36:00,понеділок,місто,Львів,Шевченківський,вулиця,Липинського В.,54,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,49.86446,24.041525
2021-08-20,15:30:00,п'ятниця,місто,Львів,Личаківський,вулиця,Китайська,null,Перехрестя вул. Китайська - вул. Пасічна,зіткнення бокове,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,49.821757,24.075417
2021-09-08,11:30:00,середа,місто,Львів,Личаківський,вулиця,Палія С.,null,вул. Палія С. - вул. Зелена,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,49.833927,24.036949
2021-09-13,20:25:00,понеділок,місто,Львів,Личаківський,вулиця,Воробкевича С.,24,null,"наїзд на транспортний засіб, що стоїть - по ходу руху",порушення правил маневрування,2,легко травмований,без ушкоджень,null,null,null,null,null,49.838868,24.059688
2021-09-15,21:15:00,середа,місто,Львів,Франківський,вулиця,Народна,3,null,наїзд на пішохода - пішохід рухався у попутному напрямку,неочікуваний вихід на проїзну частину,2,без ушкоджень,легко травмований,null,null,null,null,null,49.832616,23.9842
