accidentDate,accidentTime,accidentDay,settlementType,settlement,district,streetType,streetName,houseNumber,locationComments,accidentType,mainAccidentCause,totalParticipantsAmount,injuryStatusParticipant1,injuryStatusParticipant2,injuryStatusParticipant3,injuryStatusParticipant4,injuryStatusParticipant5,injuryStatusParticipant6,injuryStatusParticipant7,injuryStatusParticipant8,injuryStatusParticipant9,injuryStatusParticipant10,injuryStatusParticipant11,latitude,longitude
2022-08-15,9:38:00,понеділок,місто,Львів,Личаківський,вулиця,Руставелі Ш.,6,null,зіткнення бокове,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.83336,24.035254
2022-08-25,14:48:00,четвер,місто,Львів,Галицький,проспект,"Свободи, просп.",null,"просп. Свободи - вул. Гнатюка В., акад.",наїзд на пішохода - пішохід на тротуарі чи велосипедній доріжці,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.841293,24.027303
2022-09-04,16:53:00,неділя,село,Малехів,Шевченківський,вулиця,Стуса Василя,null,null,зіткнення бокове,"порушення правил маневрування, недодержання дистанції, перевищення безпечної швидкості",5,без ушкоджень,без ушкоджень,без ушкоджень,легко травмований,легко травмований,null,null,null,null,null,null,49.8834900,24.0751359
2022-08-16,13:12:00,вівторок,місто,Львів,Галицький,вулиця,Дорошенка П.,13,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.839913,24.02666
2022-08-15,10:10:00,понеділок,місто,Львів,Шевченківський,проспект,"Чорновола В., просп.",101,null,падіння пасажира,порушення правил маневрування,1,легко травмований,null,null,null,null,null,null,null,null,null,null,49.865992,24.01651
2022-08-25,15:40:00,четвер,місто,Львів,Галицький,вулиця,Городоцька,105,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,легко травмований,тяжко травмований,null,null,null,null,null,null,null,null,null,49.838616,24.008152
2022-08-25,22:30:00,четвер,місто,Львів,Сихівський,вулиця,Стрийська,59,null,зіткнення бокове,"недодержання дистанції, керування транспортним засобом у нетверезому стані",3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,49.796748,24.016993
2022-09-06,19:55:00,вівторок,місто,Львів,Сихівський,вулиця,Пасічна,164,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.8069,24.063964
2022-08-18,18:04:00,четвер,місто,Львів,Шевченківський,вулиця,Липинського В.,6,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,null,null,null,49.856233,24.019863
2022-08-03,13:10:00,середа,місто,Львів,Сихівський,вулиця,Зубрівська,27,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.794126,24.06089
2022-08-01,16:07:00,понеділок,місто,Львів,Сихівський,вулиця,"Буйка П., проф.",null,"вул. Буйка П., проф. - вул. Луганська",наїзд на велосипедиста - велосипедист рухався у попутному напрямку,"перевищення безпечної швидкості, недодержання дистанції",2,без ушкоджень,помер у лікарні протягом 30 діб,null,null,null,null,null,null,null,null,null,49.809798,24.031187
2022-08-31,19:12:00,середа,місто,Львів,Сихівський,вулиця,Зелена,305,null,зіткнення бокове,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.797866,24.071947
2022-09-08,13:40:00,четвер,місто,Львів,Личаківський,вулиця,Богданівська,44,null,зіткнення бокове,"перевищення безпечної швидкості, недодержання дистанції",5,без ушкоджень,без ушкоджень,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,49.855942,24.075159
2022-08-19,17:22:00,п'ятниця,місто,Львів,Галицький,вулиця,Менцинського М.,12,null,наїзд на пішохода - пішохід переходив дорогу поза межами піш.переходу,неочікуваний вихід на проїзну частину,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.842892,24.022143
2022-08-04,22:30:00,четвер,місто,Львів,Шевченківський,вулиця,Замарстинівська,174,null,зіткнення бокове,порушення правил проїзду перехресть,3,без ушкоджень,легко травмований,легко травмований,null,null,null,null,null,null,null,null,49.870825,24.019386
2022-08-21,11:57:00,неділя,місто,Львів,Залізничний,вулиця,Широка,111а,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.84266,23.959122
2022-08-05,11:33:00,п'ятниця,місто,Львів,Франківський,вулиця,Кульпарківська,78,null,зіткнення бокове,невиконання вимог сигналів регулювання,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,49.825422,23.989795
2022-08-31,13:07:00,середа,місто,Львів,Франківський,вулиця,Нечуя-Левицького І.,1,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.8324298,24.0179148
2022-08-01,16:12:00,понеділок,місто,Львів,Шевченківський,вулиця,Замарстинівська,177,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил маневрування,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,null,null,null,49.868709,24.023495
2022-09-07,19:18:00,середа,місто,Львів,Залізничний,вулиця,Любінська,null,вул. Любінська - вул. Зоряна,зіткнення бокове,порушення правил маневрування,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,null,null,null,49.825128,23.979238
2022-08-30,13:30:00,вівторок,місто,Львів,Сихівський,вулиця,Зелена,null,вул. Зелена - вул. Сихівська,зіткнення бокове,"перевищення безпечної швидкості, порушення правил проїзду перехресть",2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.798632,24.070793
